datetime,latitude,longitude,ta,wd,ws,rh,fsd
2015-01-01 01:00:00,-37.9,145.3,17.39458011,112.64515290000001,2.53848073,79.37046037,253.9446412
2015-01-01 01:00:00,-32.1,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.8,115.8,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-37.8,144.8,17.39458011,112.64515290000001,2.53848073,79.37046037,253.9446412
2015-01-01 02:00:00,-31.8,115.8,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-34.5,147.2,21.99370266,130.4928754,2.730101523,56.63834256,322.05593660000005
2015-01-01 02:00:00,-32.0,116.0,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 02:00:00,-37.8,144.8,17.39458011,112.64515290000001,2.53848073,79.37046037,253.9446412
2015-01-01 03:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-32.0,116.0,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-31.8,115.8,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-37.8,144.8,17.39458011,112.64515290000001,2.53848073,79.37046037,253.9446412
2015-01-01 03:00:00,-32.1,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-31.9,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-26.2,129.1,32.08295839,287.37165780000004,1.997609571,16.88865608,280.88985310000004
2015-01-01 03:00:00,-32.1,115.9,22.10338995,194.3365016,4.459360258999999,52.16020294,351.14660269999996
2015-01-01 03:00:00,-15.4,145.1,25.93992826,106.87762350000001,3.9068644480000003,82.93369474,206.3489429
2015-01-01 03:00:00,-37.8,144.8,17.39458011,112.64515290000001,2.53848073,79.37046037,253.9446412
2015-01-01 05:00:00,-12.0,141.9,28.79448033,59.72784356,1.067000449,69.33238034,194.88686130000002
2015-01-01 13:00:00,-20.2,130.1,32.21280211,29.53658468,5.832135159,29.37118591,227.2647132
2015-01-01 18:00:00,-17.2,145.4,23.0015283,108.5313494,2.027318379,94.71899529,188.96443369999997
2015-01-01 18:00:00,-12.6,143.0,29.14106846,76.08779791,2.1791910359999997,67.4308709,218.28560180000002
2015-01-01 18:00:00,-19.2,137.9,31.39632839,41.39671276,4.078432899,56.33252954,216.93710750000002
2015-01-02 00:00:00,-37.8,144.8,23.27049609,108.62066995,4.1445496285,55.960932685,308.93033225
2015-01-02 00:00:00,-21.1,119.0,33.448851284999996,255.43566685,2.8834851114999998,39.951856845,302.15605220000003
2015-01-02 00:00:00,-17.9,123.4,30.35124208166667,123.44046097166665,2.893949631,65.00876289666667,254.45924633333334
2015-01-02 01:00:00,-13.3,135.8,27.119429689999997,333.17936310000005,1.8066444984999999,84.066572715,186.7417832
2015-01-02 01:00:00,-25.9,152.2,25.241346885,89.65539465500001,3.272338067,78.13611907249998,255.094177
2015-01-02 01:00:00,-31.9,115.8,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-02 01:00:00,-18.3,124.3,31.163118082499995,93.9334040325,3.38601570275,57.2590822175,256.163085275
2015-01-02 01:00:00,-37.8,144.8,23.27049609,108.62066995,4.1445496285,55.960932685,308.93033225
2015-01-02 01:00:00,-31.9,115.9,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-02 04:00:00,-32.1,115.9,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-02 04:00:00,-30.9,116.0,20.341221230000002,181.0067822,7.432461941000001,71.319466855,332.7332184
2015-01-02 04:00:00,-27.6,153.0,25.750937115,60.93468658,5.3001667945,79.050389865,271.6044354
2015-01-02 06:00:00,-18.8,137.9,29.506972965000003,44.89575331,3.528269259,65.866578825,206.18813885
2015-01-02 06:00:00,-32.1,115.9,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-02 06:00:00,-32.0,115.9,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-02 06:00:00,-34.2,137.5,29.85899847,127.83764490500002,4.293653903,25.165227780000002,336.16772525
2015-01-02 13:00:00,-17.9,123.7,31.163118082499995,93.9334040325,3.38601570275,57.2590822175,256.163085275
2015-01-02 13:00:00,-33.8,150.8,22.93804344,84.36797754999999,3.3901944950000003,86.222091355,300.419417925
2015-01-02 14:00:00,-31.9,115.9,21.03207382,184.38854385,5.0362683950000005,54.10448735,326.33944369999995
2015-01-03 00:00:00,-25.7,152.6,24.755462691666665,94.58876280333334,3.3389616938333333,80.48842955999999,251.75861241666667
