datetime,latitude,longitude,temp_kelvin,power,confidence
2015-10-29T02:00:00,-11.8,133.1,316.2,4.8,37
2015-10-30T13:00:00,-16.7,143,305.9,4.8,27
2015-11-18T00:00:00,-25.7,152.6,311.7,4.8,41
2015-11-24T03:00:00,-38.1,145.2,315.2,4.8,30
2015-12-31T01:00:00,-19.1,135.9,310.6,4.8,37
2015-01-07T02:00:00,-22.3,118.4,313.5,4.9,32
2015-01-28T02:00:00,-27.7,118.2,313.8,4.9,48
2015-02-13T14:00:00,-21.9,116.4,306.6,4.9,47
2015-02-18T02:00:00,-31.9,115.9,322.8,4.9,34
2015-02-28T05:00:00,-31.9,115.9,324.2,4.9,49
2015-03-01T12:00:00,-22.7,145.4,305.2,4.9,22
2015-03-20T05:00:00,-31.9,116.6,313.1,4.9,36
2015-03-21T14:00:00,-18.6,126.2,308.8,4.9,20
2015-04-17T13:00:00,-15.9,128.2,305.3,4.9,15
2015-04-26T05:00:00,-16.2,125,311.3,4.9,47
2015-04-29T02:00:00,-17.5,126.9,310.7,4.9,21
2015-05-14T05:00:00,-15.3,126.3,315.7,4.9,41
2015-05-15T04:00:00,-16.3,125.7,314.8,4.9,30
2015-05-18T02:00:00,-16.7,125.6,310.7,4.9,28
2015-07-05T05:00:00,-12.4,133.4,311.6,4.9,19
2015-07-07T05:00:00,-12.2,133.1,312.9,4.9,55
2015-07-18T04:00:00,-13.4,134,312.9,4.9,24
2015-07-27T04:00:00,-15.5,144.3,310.6,4.9,34
2015-07-28T01:00:00,-13.1,134.8,312.5,4.9,49
2015-08-08T02:00:00,-22.1,119.3,311.1,4.9,33
2015-09-05T05:00:00,-15.6,128.7,321.2,4.9,21
2015-09-15T04:00:00,-13.1,135.9,320.5,4.9,64
2015-10-06T00:00:00,-38,145.1,315.4,4.9,34
2015-10-09T02:00:00,-31.9,115.9,320.2,4.9,70
2015-10-10T06:00:00,-32.1,115.9,320.9,4.9,41
2015-10-16T02:00:00,-32,116,314.7,4.9,39
2015-10-31T14:00:00,-16.9,134.6,305.4,4.9,4
2015-11-08T13:00:00,-14.4,134.1,305.5,4.9,16
2015-11-25T15:00:00,-19.3,142.9,305.3,4.9,27
2015-01-15T01:00:00,-28.4,137.5,312.9,5,42
2015-01-17T02:00:00,-31.9,115.9,322.1,5,67
2015-02-17T14:00:00,-21,119.5,309,5,64
2015-03-12T02:00:00,-14.1,131.4,312.8,5,48
2015-04-07T05:00:00,-20.6,131.4,320.8,5,54
2015-04-12T04:00:00,-35.7,145.4,313.5,5,41
2015-04-13T00:00:00,-35.1,142,310.1,5,18
2015-04-17T06:00:00,-32.1,117,315.5,5,64
2015-04-19T13:00:00,-15.6,131.4,306.6,5,38
2015-04-22T04:00:00,-36.3,140.4,310.4,5,37
2015-05-09T01:00:00,-16,134.4,315.4,5,59
