datetime,latitude,longitude,Downwelling short wave radiation,Air temperature, Relative humidity,Wind speed,Wind direction
1/01/2015,-19.1,133.9,204.9154446,29.88285002,47.52140436,2.691682054,147.2283878
1/01/2015,-19.1,134.6,214.5736001,31.72170181,39.29221881,2.976078279,169.6799344
1/01/2015,-18.4,121.9,262.602334,29.72944914,77.84314625,1.693529296,251.8917061
1/01/2015,-18.4,123.4,254.6962526,29.82603643,69.92724063,2.166292803,131.5511207
1/01/2015,-18.4,124.1,250.5022138,32.30660156,47.87558491,3.439935347,75.37176354
1/01/2015,-18.4,127.9,180.2175687,25.81361634,74.28435642,6.490301577,59.75183834
1/01/2015,-18.4,132.4,173.9477675,27.48360401,65.57423209,3.534974767,76.47807868
1/01/2015,-18.4,133.1,188.211762,27.77604385,64.30558162,3.15602444,168.3013125
1/01/2015,-18.4,137.6,216.9371075,31.39632839,56.33252954,4.078432899,41.39671276
1/01/2015,-18.4,140.6,202.7527817,27.3562642,83.95851193,3.626608488,36.26036632
1/01/2015,-17.6,122.6,247.8335583,28.55192501,83.18207444,1.632801225,177.005565
1/01/2015,-16.9,145.1,188.9644337,23.0015283,94.71899529,2.027318379,108.5313494
1/01/2015,-16.1,145.1,206.3489429,25.93992826,82.93369474,3.906864448,106.8776235
1/01/2015,-15.4,136.1,228.9221407,27.63354772,87.27943818,1.543846881,156.1317189
1/01/2015,-15.4,142.9,203.3833309,28.24579162,73.52364782,2.208808054,89.28734671
1/01/2015,-13.9,143.6,235.412858,29.69691702,66.50062079,3.712145532,83.90353749
1/01/2015,-13.1,135.4,194.7604476,27.31974952,84.12881294,1.783446436,332.5048267
1/01/2015,-13.1,142.9,218.2856018,29.14106846,67.4308709,2.179191036,76.08779791
1/01/2015,-12.4,130.9,131.6440537,25.35528129,92.76759702,2.639320063,151.542389
1/01/2015,-11.6,142.1,194.8868613,28.79448033,69.33238034,1.067000449,59.72784356
1/01/2015,-10.9,131.6,101.6998804,27.25024195,86.02515644,3.571011254,264.3155054
1/01/2015,-10.1,142.1,194.6183861,27.3912292,81.71192609,0.932240044,228.4613567
2/01/2015,-43.1,146.6,318.0193198,18.6395075,67.75194805,8.190634915,173.4550025
2/01/2015,-42.4,147.4,335.1926389,20.88835866,59.49173557,7.800331341,189.7821471
2/01/2015,-41.6,147.4,342.632935,20.81779664,60.09022843,6.211968498,189.0822701
2/01/2015,-40.9,145.9,335.8852413,19.46847697,65.97465025,5.191964557,123.9341633
2/01/2015,-40.1,145.1,333.6814859,19.43155913,73.0922633,8.386511244,158.8931657
2/01/2015,-38.6,142.9,310.7506833,21.69187881,58.60251417,4.61660759,199.754261
2/01/2015,-37.9,145.1,363.9160233,29.14641207,32.551405,5.750618527,104.596187
2/01/2015,-37.1,139.9,357.0282934,27.00154186,36.98388153,3.887605956,220.5318453
2/01/2015,-37.1,142.1,342.3755087,31.90723173,16.90925304,5.792800508,185.9461326
2/01/2015,-36.4,142.9,365.3119301,32.5338192,18.63051001,6.5411601,149.8932724
2/01/2015,-35.6,144.4,378.6898976,33.37641687,20.56476832,5.280507214,79.59581692
2/01/2015,-34.9,148.1,352.5322201,24.88973387,56.89506777,2.349601344,81.84557187
2/01/2015,-34.1,138.4,368.1504887,31.78186956,21.94588174,5.186427958,194.6451788
2/01/2015,-34.1,150.4,324.0729585,22.9500387,83.60304273,2.241326079,39.88628449
2/01/2015,-33.4,151.1,320.7492433,23.17765732,90.65336541,4.55036836,53.89765181
2/01/2015,-32.6,150.4,298.5019056,23.64966908,78.93436469,1.615508431,78.05356897
2/01/2015,-31.9,115.9,301.5322847,19.96075769,56.04877176,5.613176531,174.4405861
2/01/2015,-31.1,115.1,310.8140378,19.87192268,70.42879109,7.891136861,172.0035468
2/01/2015,-30.4,121.1,325.659993,27.02259563,42.99314233,6.693297694,152.3468586
2/01/2015,-30.4,122.6,314.2121871,26.08816779,48.40587508,6.495007094,136.49237
2/01/2015,-29.6,123.4,309.4392229,28.43819482,42.10406005,6.13908764,165.5656487
2/01/2015,-28.9,149.6,298.1185865,25.7668423,64.82857433,3.682306405,72.48688474
2/01/2015,-28.1,121.1,313.4466804,32.85751689,27.7918759,8.836059418,208.9187698
2/01/2015,-27.4,141.4,317.3552649,33.15124126,42.89749866,5.62773796,44.70616461
